,House Price,House Address,"Coordinates[lat, lng]",House url,House Image url
13,"$589,900","1423 Willow Trl, Middleton, WI 53562","[43.0866643, -89.4890209]",https://www.redfin.com//WI/Middleton/1423-Willow-Trl-53562/home/89877182,https://ssl.cdn-redfin.com/photo/129/bigphoto/753/1928753_0.jpg
14,"$399,900","1207 Chandler St, Madison, WI 53705","[43.0639919, -89.4060926]",https://www.redfin.com//WI/Madison/1207-Chandler-St-53715/home/57757319,https://ssl.cdn-redfin.com/photo/129/bigphoto/588/1928588_0.jpg
15,"$269,000","211 Randolph Dr, Madison, WI 53717","[43.063523, -89.51222399999999]",https://www.redfin.com//WI/Madison/211-Randolph-Dr-53717/home/89901416,https://ssl.cdn-redfin.com/photo/129/bigphoto/885/1927885_1.jpg
16,"$699,000","1408 Vilas Ave, Madison, WI 53711","[43.0633265, -89.4094212]",https://www.redfin.com//WI/Madison/1408-Vilas-Ave-53711/home/89941435,https://ssl.cdn-redfin.com/photo/129/bigphoto/557/1927557_1.jpg
17,"$374,900","3921 Mineral Point Rd, Madison, WI 53705","[43.0605291, -89.44150929999999]",https://www.redfin.com//WI/Madison/3921-Mineral-Point-Rd-53705/home/89908386,https://ssl.cdn-redfin.com/photo/129/bigphoto/648/1927648_0.jpg
18,"$998,500","830 Hiawatha Dr, Madison, WI 53711","[43.0473319, -89.44581409999999]",https://www.redfin.com//WI/Madison/830-Hiawatha-Dr-53711/home/89910226,https://ssl.cdn-redfin.com/photo/129/bigphoto/550/1925550_1.jpg
19,"$359,900","23 Mountain Ash Trl, Madison, WI 53717","[43.064307, -89.5054339]",https://www.redfin.com//WI/Madison/23-Mountain-Ash-Trl-53717/home/89900599,https://ssl.cdn-redfin.com/photo/129/bigphoto/633/1925633_1.jpg
20,"$475,500","1027 Drake St, Madison, WI 53715","[43.061836, -89.403522]",https://www.redfin.com//WI/Madison/1027-Drake-St-53715/home/89941187,https://ssl.cdn-redfin.com/photo/129/bigphoto/537/1924537_0.jpg
21,"$500,000","1917 Madison St, Madison, WI 53711","[43.063329, -89.4173347]",https://www.redfin.com//WI/Madison/1917-Madison-St-53711/home/89906918,https://ssl.cdn-redfin.com/photo/129/bigphoto/529/1921529_1.jpg
22,"$875,000","406-408-4081/2 S Mills St, Madison, WI 53715","[43.0628553, -89.4042293]",https://www.redfin.com//WI/Madison/406-S-Mills-St-53715/home/89907047,https://ssl.cdn-redfin.com/photo/129/bigphoto/927/1918927_4.jpg
